id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,price_per_m2,distance_km,distance_bucket
2014-536311,2014-01-14,2,Vente,125500.0,72.0,,RUE DES ROSES,0193,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000CB0373,,,,,,,,,,,,,0,1.0,Maison,89.0,5.0,S,sols,,,297.0,4.002311,48.899476,1410.112359550562,32.66034952451538,30-50 km
2014-536313,2014-01-15,1,Vente,200000.0,1.0,,RUE DU SAULE BLANC,0063,51130.0,51158,Val-des-Marais,51,,,51158383ZK0053,,,,,,,,,,,,,0,1.0,Maison,121.0,5.0,S,sols,,,2836.0,3.991857,48.812734,1652.892561983471,24.18871669465903,20-30 km
2014-536381,2014-02-04,1,Vente,38200.0,25.0,,BD CARNOT,0016,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BL0120,,,,,,,,,,,,,0,1.0,Maison,176.0,8.0,S,sols,,,304.0,4.002688,48.903391,217.04545454545453,33.0549491351983,30-50 km
2014-536395,2014-02-14,1,Vente,133000.0,2.0,,RUE DE L EGLISE,0010,51320.0,51244,Faux-Vésigneul,51,,,51244000ZL0046,,,,,,,,,,,,,0,1.0,Maison,113.0,4.0,S,sols,,,1100.0,4.401544,48.779923,1176.9911504424779,47.72488741740207,30-50 km
2014-536413,2014-02-14,1,Vente,156320.0,33.0,,RUE NATIONALE,0090,51130.0,51049,Bergères-lès-Vertus,51,,,510490000D1141,,,,,,,,,,,,,0,1.0,Maison,78.0,4.0,S,sols,,,965.0,4.004281,48.877517,2004.1025641025642,30.62352699224209,30-50 km
2014-536417,2014-01-30,1,Vente,92000.0,8.0,,RUE DES CITES JARDINS,0028,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BH0137,,,,,,,,,,,,,0,1.0,Maison,98.0,6.0,S,sols,,,401.0,4.010241,48.907129,938.7755102040817,33.6867725386217,30-50 km
2014-536420,2014-02-10,1,Vente,130800.0,9.0,,GR GRANDE RUE,0014,51320.0,51099,Bussy-Lettrée,51,,,51099000AB0067,,,,,,,,,,,,,0,1.0,Maison,115.0,5.0,S,sols,,,426.0,4.259359,48.806465,1137.391304347826,39.23350270346479,30-50 km
2014-536430,2014-02-12,1,Vente,198000.0,3.0,B,RUE HAUTE,0028,51240.0,51409,Nuisement-sur-Coole,51,,,514090000E0563,,,,,,,,,,,,,0,1.0,Maison,189.0,6.0,S,sols,,,1391.0,4.309347,48.876615,1047.6190476190477,46.38549620604728,30-50 km
2014-536453,2014-02-17,1,Vente,110000.0,9.0,,RUE DE L ELECTRICITE,0086,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BL0052,,,,,,,,,,,,,0,1.0,Maison,94.0,3.0,S,sols,,,223.0,4.004647,48.905127,1170.212765957447,33.293281469604864,30-50 km
2014-536454,2014-02-25,2,Vente,111000.0,8.0,,RUE DU CIMETIERE,0027,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BH0267,,,,,,,,,,,,,0,2.0,Appartement,46.0,1.0,S,sols,,,375.0,4.005214,48.90716,2413.0434782608695,33.51154055740669,30-50 km
2014-536460,2014-02-24,1,Vente,110000.0,61.0,,RUE DE SAINT GOND,0061,51130.0,51158,Val-des-Marais,51,,,511580000C0496,,,,,,,,,,,,,0,1.0,Maison,110.0,4.0,S,sols,,,860.0,3.960767,48.8418,1000.0,25.57705367929584,20-30 km
2014-536488,2014-02-27,1,Vente,223500.0,19.0,,RUE DES HAUTS,0011,51240.0,51087,Breuvery-sur-Coole,51,,,51087000ZS0031,,,,,,,,,,,,,0,1.0,Maison,145.0,6.0,J,jardins,,,1840.0,4.309931,48.86282,1541.3793103448277,45.58278649153362,30-50 km
2014-536488,2014-02-27,1,Vente,223500.0,19.0,,RUE DES HAUTS,0011,51240.0,51087,Breuvery-sur-Coole,51,,,51087000ZS0031,,,,,,,,,,,,,0,1.0,Maison,145.0,6.0,S,sols,,,1000.0,4.309931,48.86282,1541.3793103448277,45.58278649153362,30-50 km
2014-536490,2014-02-27,1,Vente,47000.0,14.0,,RUE DE LA MAIRIE,0015,51320.0,51595,Vatry,51,,,51595000AB0015,,,,,,,,,,,,,0,1.0,Maison,64.0,3.0,J,jardins,,,999.0,4.241607,48.822205,734.375,38.94582638373555,30-50 km
2014-536490,2014-02-27,1,Vente,47000.0,14.0,,RUE DE LA MAIRIE,0015,51320.0,51595,Vatry,51,,,51595000AB0015,,,,,,,,,,,,,0,1.0,Maison,64.0,3.0,S,sols,,,480.0,4.241607,48.822205,734.375,38.94582638373555,30-50 km
2014-536521,2014-03-11,2,Vente,121000.0,19.0,,RTE DEPARTEMENTALE,0026,51510.0,51566,Thibie,51,,,515660000A0959,,,,,,,,,,,,,0,1.0,Maison,119.0,6.0,S,sols,,,548.0,4.217125,48.930987,1016.8067226890756,45.025753909789614,30-50 km
2014-536523,2014-03-24,1,Vente,60000.0,5.0,,AV LOUIS LENOIR,0153,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BM0116,,,,,,,,,,,,,0,1.0,Maison,96.0,5.0,S,sols,,,164.0,4.005133,48.903468,625.0,33.14893087063229,30-50 km
2014-536523,2014-03-24,1,Vente,60000.0,5.0,,AV LOUIS LENOIR,0153,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BM0116,,,,,,,,,,,,,0,1.0,Maison,40.0,2.0,S,sols,,,164.0,4.005133,48.903468,1500.0,33.14893087063229,30-50 km
2014-536539,2014-02-28,1,Vente,237800.0,5.0,,LE NERGONE,B029,51240.0,51227,Écury-sur-Coole,51,,,51227000ZD0083,,,,,,,,,,,,,0,1.0,Maison,122.0,4.0,S,sols,,,820.0,4.331637,48.895346,1949.1803278688524,48.91148958106714,30-50 km
2014-536567,2014-02-27,1,Vente,100000.0,10.0,,RUE DE CHALONS,0021,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BL0034,,,,,,,,,,,,,0,1.0,Maison,183.0,3.0,S,sols,,,130.0,4.003833,48.905599,546.448087431694,33.31065980905216,30-50 km
2014-536580,2014-03-25,1,Vente,155000.0,47.0,,RUE DE CHALONS SUR MARNE,0021,51240.0,51227,Écury-sur-Coole,51,,,512270000E0785,,,,,,,,,,,,,0,1.0,Maison,130.0,6.0,S,sols,,,632.0,4.34056,48.898578,1192.3076923076924,49.65381007453533,30-50 km
2014-536580,2014-03-25,1,Vente,155000.0,47.0,,RUE DE CHALONS SUR MARNE,0021,51240.0,51227,Écury-sur-Coole,51,,,512270000E0785,,,,,,,,,,,,,0,1.0,Maison,130.0,6.0,J,jardins,,,701.0,4.34056,48.898578,1192.3076923076924,49.65381007453533,30-50 km
2014-536629,2014-04-16,1,Vente,18500.0,5028.0,,LES PRES DE LA CARTONNERIE,B063,51240.0,51087,Breuvery-sur-Coole,51,,,510870000A0476,,,,,,,,,,,,,0,1.0,Maison,32.0,1.0,S,sols,,,690.0,4.316051,48.858034,578.125,45.68298671713859,30-50 km
2014-536629,2014-04-16,1,Vente,18500.0,5028.0,,LES PRES DE LA CARTONNERIE,B063,51240.0,51087,Breuvery-sur-Coole,51,,,510870000A0476,,,,,,,,,,,,,0,1.0,Maison,32.0,1.0,J,jardins,,,638.0,4.316051,48.858034,578.125,45.68298671713859,30-50 km
2014-536654,2014-03-12,1,Vente,187000.0,5136.0,,RUE DE LA GARE,0030,51240.0,51227,Écury-sur-Coole,51,,,512270000E0711,,,,,,,,,,,,,0,1.0,Maison,117.0,4.0,S,sols,,,900.0,4.3333,48.895437,1598.2905982905984,49.01734243106747,30-50 km
2014-536669,2014-04-25,1,Vente,101000.0,10.0,,GR GRANDE RUE,0046,51130.0,51327,Loisy-en-Brie,51,,,513270000D0051,,,,,,,,,,,,,0,1.0,Maison,135.0,4.0,S,sols,,,240.0,3.90106,48.882707,748.1481481481482,27.993585119837718,20-30 km
2014-536682,2014-05-07,1,Vente,240000.0,14.0,B,RUE DU GENERAL LECLERC,0109,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BM0158,,,,,,,,,,,,,0,1.0,Maison,149.0,6.0,J,jardins,POTAG,Jardin potager,954.0,4.007241,48.905329,1610.7382550335572,33.40486947962517,30-50 km
2014-536682,2014-05-07,1,Vente,240000.0,14.0,B,RUE DU GENERAL LECLERC,0109,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BM0158,,,,,,,,,,,,,0,1.0,Maison,149.0,6.0,S,sols,,,800.0,4.007241,48.905329,1610.7382550335572,33.40486947962517,30-50 km
2014-536732,2014-05-13,1,Vente,95000.0,16.0,,ALL DE LA HERONNIERE,0040,51150.0,51303,Jâlons,51,,,51303000ZK0112,,,,,,,,,,,,,0,1.0,Maison,88.0,5.0,S,sols,,,517.0,4.181421,49.008271,1079.5454545454545,49.924641928090544,30-50 km
2014-536750,2014-05-09,1,Vente,75000.0,4.0,,RUE DE LA BERLE,0010,51130.0,51627,Villeneuve-Renneville-Chevigny,51,,,516270000E0045,,,,,,,,,,,,,0,1.0,Maison,66.0,3.0,S,sols,,,350.0,4.077456,48.9248,1136.3636363636363,37.954611721106474,30-50 km
2014-536762,2014-05-07,1,Vente,126000.0,45.0,,RUE DE JALONS,0019,51150.0,51117,Champigneul-Champagne,51,,,511170000B1178,,,,,,,,,,,,,0,1.0,Maison,92.0,3.0,S,sols,,,342.0,4.167715,48.975422,1369.5652173913043,46.388421091292344,30-50 km
2014-536771,2014-05-22,1,Vente,157000.0,14.0,,RUE DU GUE,0019,51130.0,51107,Chaintrix-Bierges,51,,,51107000ZK0099,,,,,,,,,,,,,0,1.0,Maison,75.0,4.0,S,sols,,,1245.0,4.102525,48.899624,2093.3333333333335,36.80836659343944,30-50 km
2014-536845,2014-06-16,1,Vente,100000.0,17.0,,GR GRANDE RUE,0041,51130.0,51268,Germinon,51,,,512680000E0293,,,,,,,,,,,,,0,1.0,Maison,68.0,2.0,S,sols,,,1270.0,4.154371,48.876556,1470.5882352941176,37.500057532274994,30-50 km
2014-536861,2014-05-31,1,Vente,185000.0,5019.0,,COLIGNY,B089,51130.0,51158,Val-des-Marais,51,,,511580000C0501,,,,,,,,,,,,,0,1.0,Maison,146.0,3.0,S,sols,,,820.0,3.960771,48.842544,1267.123287671233,25.648882009410578,20-30 km
2014-536869,2014-06-06,1,Vente,140000.0,57.0,,RUE DU CENTRE,0012,51150.0,51018,Athis,51,,,51018000AB0178,,,,,,,,,,,,,0,1.0,Maison,90.0,4.0,S,sols,,,734.0,4.130285,49.01656,1555.5555555555557,48.63058466536796,30-50 km
